cluster_name,recipe_filename,p95_run_max_executors,avg_run_max_executors,runs
stg-to-ods-payments-544-2-c,_ETL_m_ODS_TEX52.json,8,5.75,7
cluster-wf-dmr-load-t-04-35-0435,_ETL_m_DWH_E_MOD_MENSAJE_OPERADOR_SG_P.json,8,5,7
comparator-payments-544-2-c,_ETL_m_ODS_TGK23.json,8,7,7
comparator-securities-valors-4090,_ETL_m_ODS_TVA_71_SALDOS_MOV.json,8,5.142857142857143,7
stg-to-ods-mis-590-2-f,_ETL_m_STG_LKP_OPERACIONES_MIS.json,8,4.75,7
cluster-wf-dwh-load-t-01-15-0115,_ETL_m_DM_MOD_PASOS_AUDIT.json,8,5.5,7
cluster-wf-load-info-25f3c2ad-0000,_ETL_m_DM_LKP_ALERTAS_ENVIADAS_CLIE.json,8,5.142857142857142,7
comparator-electronic-banking-4845,_ETL_m_ODS_TEB_04_OPERACIONES.json,8,5.428571428571428,7
stg-to-ods-partner-data-4433-1-a,_ETL_m_ODS_PW11_FIRMAS.json,8,5.6,7
stg-to-ods-securities-valors-409e,_ETL_m_ODS_TVA_76_MOVIMIENTOS_DBT.json,8,5.75,7
cluster-wf-load-info-83c7f70d-0730,_ETL_m_DWH_D_MISJUAN_PAR.json,8,6,7
cluster-wf-dmr-load-t-06-15-0615,_ETL_m_DM_MOD_TASACIONES.json,8,3.8571428571428577,7
stg-to-ods-securities-valors-409e,_ETL_m_ODS_TVA_77_POS_CONTR_CIB.json,8,7,7
